date,token_id,price,trading_volume,trend,post_counts
2024-03-06,mog-coin,7.08008754381612e-07,18794051.27,6,6
2024-03-07,shiba-inu,3.3609167483255e-05,6172368718.0,8,1
2024-03-07,pepe,7.2461801102774e-06,2773565415.0,59,1
2024-03-07,bonk,3.00976360910606e-05,621312565.7,8,1
2024-03-07,floki,0.000132420395565232,579405815.1,5,1
2024-03-07,mog-coin,9.17117507521103e-07,26080425.15,6,1
2024-03-08,shiba-inu,3.14498745130357e-05,3842394919.0,11,8
2024-03-08,pepe,6.8035719382379e-06,1425289802.0,69,8
2024-03-08,bonk,2.71049822638079e-05,468766363.8,9,8
2024-03-08,floki,0.000139344914668358,370100082.5,18,8
2024-03-08,mog-coin,1.14288265536978e-06,22703578.61,6,8
2024-03-09,shiba-inu,3.53703574185528e-05,4458720264.0,7,2
2024-03-09,pepe,9.11382292851858e-06,3494258563.0,69,2
2024-03-09,bonk,3.20570537354435e-05,904381075.6,9,2
2024-03-09,floki,0.000234255737403223,2136159537.0,17,2
2024-03-09,mog-coin,9.92107425501571e-07,13545479.3,6,2
2024-03-10,shiba-inu,3.51028603581265e-05,2529416121.0,6,0
2024-03-10,pepe,8.82881578084648e-06,1869464999.0,59,0
2024-03-10,bonk,3.4146551653274e-05,489306411.8,9,0
2024-03-10,floki,0.000240862774071143,1481616337.0,13,0
2024-03-10,mog-coin,1.09484181505892e-06,10403044.94,7,0
2024-03-11,shiba-inu,3.27963077790969e-05,1904963582.0,7,4
2024-03-11,pepe,8.52700278990515e-06,1216966105.0,50,4
2024-03-11,bonk,3.09261797384898e-05,331893695.4,8,4
2024-03-11,floki,0.000273426896401828,1422114124.0,13,4
2024-03-11,mog-coin,8.33681920535497e-07,8511722.86,6,4
2024-03-12,shiba-inu,3.38614898870714e-05,2488071982.0,6,2
2024-03-12,pepe,9.0514701360669e-06,1464249567.0,100,2
2024-03-12,bonk,3.11067336518194e-05,352977925.4,7,2
2024-03-12,floki,0.000297331573016424,1629097665.0,9,2
